dataset,description,dataset_raw
department_for_the_aging_nyc_aging_all_contracted_providers.geojson,"This dataset contains a directory of programs and services for older adults funded by the New York City Department for the Aging. It covers various provider types, including older adult centers, transportation, caregiver services, and home-delivered meals. The data includes program names, addresses, phone numbers, and daily operating hours. It is rich with geographic information, providing location details at multiple levels such as street address, borough, ZIP code, and precise latitude and longitude coordinates. The dataset also includes administrative identifiers like community board and census tract, alongside temporal data on daily business hours. This information can be used to analyze the spatial distribution of senior services, helping urban planners assess accessibility and identify underserved neighborhoods.",cqc8-am9x.geojson
raised_crosswalk_locations.geojson,"This dataset provides a detailed record of transportation interventions, specifically focusing on the installation of raised crosswalks. It contains 11 unique types of treatments, each entry including the date of the intervention and a unique node identifier. The dataset's temporal coverage spans from May 2014 to September 2023. Geographic information for each treatment is provided as point coordinates. As a piece of urban data, this dataset is useful for city planners and researchers analyzing traffic calming measures. It can be used to map the rollout of pedestrian safety infrastructure and study the timeline and spatial distribution of urban improvement projects.",uh2s-ftgh.geojson
citywide_public_computer_centers.geojson,"This dataset catalogs public computer centers and Wi-Fi access locations throughout New York City. It provides detailed information for each site, including the operating agency, address, daily hours, and internet speeds. The dataset also lists the number of available workstations and supplementary equipment like printers and scanners. It contains rich temporal information with daily operating hours and extensive geographic data, from specific coordinates to administrative boundaries like boroughs and census tracts. This urban data is useful for analyzing the distribution of public digital resources, assessing digital equity, and planning for service improvements across neighborhoods. Accessibility details and access requirements are also provided.",cuzb-dmcd.geojson
dohmh_covid_19_antibody_by_modified_zip_code_tabulation_area.geojson,"This dataset contains COVID-19 testing statistics aggregated by New York City neighborhoods. It includes the number of people tested, the count of positive cases, the positivity percentage, and the overall test rate for 177 distinct modified ZIP Code Tabulation Areas (ZCTAs). Geographically, each area is identified by its neighborhood name and precise latitude and longitude coordinates. Semantically, this dataset links healthcare measurements, such as population counts for testing and positive cases, to specific geographic locations. As urban data, it is valuable for analyzing the spatial distribution of the virus, identifying high-risk neighborhoods, and informing public health responses within the city.",6qs8-44ki.geojson
2020_doe_high_school_directory.geojson,"This dataset provides a comprehensive directory of high schools in New York City. Each school's record includes its name, location with specific address and geocoordinates, and contact information. The dataset details academic opportunities, extracurricular activities, sports programs, and extensive admissions information, including requirements and applicant statistics. Key performance indicators such as graduation rates, attendance records, and college career placement rates are also provided. The columns represent a variety of data types, including organizational identifiers, program descriptions, and quantitative metrics. As a rich source of urban data, this dataset is ideal for analyzing educational equity, resource allocation, and school performance across different neighborhoods.",23z9-6uk9.geojson
city_bench_locations_historical.geojson,"This dataset provides detailed information on the locations and characteristics of public benches across New York City's five boroughs. Each record includes precise geographic coordinates, the installation address, and the specific bench type, such as ""backed"" or ""backless."" The data also features installation dates, which span from 2012 to 2019. Additional contextual details are provided, including the bench's program category (e.g., Senior Safety, Bus Route), its FEMA flood zone designation, and its hurricane evacuation zone. This dataset is useful for urban planning research, allowing for analysis of public amenity distribution and accessibility in relation to transportation and environmental factors.",kuxa-tauh.geojson
designated_and_calendared_buildings_and_sites.geojson,"This dataset provides detailed information on designated landmarks and historic districts across New York City. It features rich geographic data, including street addresses, borough identifiers, and precise coordinates for each location. The dataset contains unique property identifiers such as the Borough, Block, and Lot (BBL), and details the landmark type and its current designation status. Temporal information is also included, with designation dates ranging from 1965 to 2019. This dataset is a valuable resource for urban planning, historical preservation research, and spatial analysis of New York City's architectural heritage.",ncre-qhxs.geojson
pedestrian_ramp_locations.geojson,"This dataset provides a detailed inventory of sidewalk curb ramps, including their specific locations and physical characteristics. It contains geographic point coordinates for each ramp, the intersecting street names, and the borough where it is located. The dataset features extensive measurements such as various slopes, widths, lengths, and the condition of the ramp. Additional fields indicate the presence of obstacles or issues like water ponding. This information, collected between March and October 2018, can be used for urban planning and analysis. It is valuable for assessing sidewalk accessibility for people with disabilities, prioritizing infrastructure maintenance, and studying urban mobility.",ufzp-rrqu.geojson
accessible_pedestrian_signal_locations.geojson,"This dataset provides detailed information about installations at various locations across New York City's five boroughs. Each record includes precise geographic coordinates, the street-level location, and the installation date, with temporal coverage from April 2012 to October 2023. The data is enriched with a variety of spatial attributes, including borough and neighborhood names, as well as political and administrative boundaries like community, council, and congressional districts. Additionally, it contains information relevant to disaster management, such as FEMA flood zone classifications. As a rich source of urban data, this dataset can be used for infrastructure planning, spatial analysis of public assets, and assessing environmental risk distribution across the city.",de3m-c5p4.geojson
street_seats_2014_2019.geojson,"This dataset provides information on street installations for various businesses across four New York City boroughs: Brooklyn, Manhattan, Queens, and the Bronx. Spanning from 2014 to 2019, the records detail the business name, the applicant, and specific characteristics of the structure. The data is geographically rich, containing precise latitude and longitude coordinates, street addresses, and property parcel identifiers (BBL). It also includes various administrative boundaries like community boards, council districts, and neighborhoods. This dataset is useful for urban data analysis, enabling researchers to study patterns in the use of public space for commercial activities across different parts of the city.",d83i-6us7.geojson
nyc_bridge_strike_data.geojson,"This dataset contains records of vehicle overpass strikes in New York City between 2013 and 2023. Each record includes the incident date, location by borough and street, and precise geographic coordinates. The data also provides contextual details such as the vehicle's direction of travel, whether the location was a designated truck route, and the state that issued the operator's license. As a resource for urban data analysis, this dataset is valuable for identifying high-risk locations for collisions, studying incident patterns over time, and informing transportation safety policies and infrastructure improvements within the city.",jdn9-td9w.geojson
dsny_donatenyc_directory.geojson,"This dataset provides a comprehensive directory of donation locations across New York City's boroughs. It contains essential details for each site, including its name, address, contact information, and operating hours. The data specifies the categories of items accepted, such as clothing, food, and electronics, and provides additional information on donation requirements. Geographically, it includes precise latitude and longitude coordinates, along with classifications by neighborhood, community district, police precinct, and census tract. This rich urban dataset is ideal for analyzing resource distribution, supporting logistical planning for donation services, and identifying areas in need of more facilities.",gkgs-za6m.geojson
street_pavement_rating.geojson,"This dataset provides inspection data and condition ratings for street segments across New York City's boroughs. Each record contains geographic information, including the street name, cross-street boundaries, borough, and geospatial line data representing the segment's geometry. The dataset's temporal coverage for inspections spans from December 2014 to December 2023. Key attributes for each segment include a qualitative rating, such as ""Good,"" ""Fair,"" or ""Poor,"" and a corresponding numerical score. As a resource for urban data analysis, this dataset can be used to monitor infrastructure conditions, prioritize street maintenance, and study the spatial distribution of road quality over time.",6yyb-pb25.geojson
hurricane_evacuation_centers.geojson,"This dataset provides geographic and descriptive information about school buildings located throughout New York City. Each entry includes the school's name, full street address, city, zip code, and precise point coordinates. The data also contains unique identifiers for each real estate parcel, known as the Borough, Block, and Lot (BBL), as well as a status indicator for accessibility compliance. All locations are within New York state and are marked as accessible. As a source of urban data, this dataset is useful for analyzing the spatial distribution of educational infrastructure, planning resources across boroughs, and conducting demographic studies related to school locations.",p5md-weyf.geojson
childrens_play_areas_cpas.geojson,"This dataset provides a comprehensive inventory of playgrounds, detailing their names, locations, and associated park districts. It contains key attributes such as the precise geographic coordinates for each site and its accessibility status. The data specifies the level of accessibility with descriptions, including features like ramped equipment, universally accessible swings, or transfer platforms. The dataset uses various identifiers for properties, park districts, and systems, and it categorizes playgrounds based on their accessibility features and rules, such as whether adults are allowed. As a resource for urban data, this dataset can be used to analyze the geographic distribution of accessible play spaces, supporting urban planners and helping residents find suitable recreational facilities.",j55h-3upk.geojson
privately_owned_public_spaces_pops.geojson,"This dataset provides a comprehensive inventory of Privately Owned Public Spaces (POPS) in New York City. It contains detailed information for each space, including its full address, borough, zip code, building name, and the year it was completed. The dataset features rich spatial data at multiple levels of granularity, such as administrative districts, property parcels, and precise geographic coordinates. Key attributes describe the public space itself, including its type, size, required amenities, and hours of access. As a valuable resource for urban data analysis, this dataset is ideal for urban planning, real estate research, and studying the distribution of public amenities.",rvih-nhyn.geojson
open_streets_locations.geojson,"This dataset provides detailed information about approved Open Streets locations across New York City. It identifies the civic organization sponsoring each closure, the specific street segment, and its borough. The data contains comprehensive scheduling information, including the approved days of the week and daily opening and closing hours for each location. Temporal data covers events with start dates from late 2022 to 2023 and end dates extending to 2050. Geospatial information is provided as multi-line coordinates for each street segment. This dataset can be used for urban planning, studying impacts on mobility, or understanding the distribution of public space initiatives.",uiay-nctu.geojson
nyc_dot_pedestrian_plazas_point_feature.geojson,"This dataset contains detailed information on public plazas located across the five boroughs of New York City. It provides the precise location of each plaza using geographic point coordinates, along with its name, the streets it occupies, and its designated borough. The dataset also includes administrative and geopolitical details such as the community district, council district, and congressional district for each plaza. Furthermore, it identifies the managing partner organization and provides crucial environmental risk data, including the FEMA flood zone designation and hurricane evacuation zone. This urban data is ideal for spatial analysis, planning public spaces, and assessing the environmental vulnerability of community assets.",5dck-9m6g.geojson
individual_landmark_sites.geojson,"This dataset provides detailed information on individual landmarks across the five boroughs of New York City. It contains the specific geographic boundaries for each landmark, represented as multi-polygon shapes. Key attributes include the official landmark name, address, borough-block-lot (BBL) property identifier, and a link to the official designation report. The dataset includes valuable temporal information, with landmark designation dates spanning from 1965 to 2019. This rich collection of urban data is ideal for spatial analysis, historical preservation research, and mapping the architectural heritage of New York City.",buis-pvji.geojson
open_storefronts_applications_historical.geojson,"This dataset offers a detailed record of businesses participating in an outdoor commercial program within New York City. It contains business names, addresses, and descriptions across the five boroughs, specified by street address, zip code, and precise geographic coordinates. The dataset captures urban planning attributes, including details on sidewalk dimensions and outdoor seating configurations. Temporal information is provided through submission dates ranging from October 2020 to November 2021. This dataset is useful for urban data analysis, such as mapping the distribution of participating storefronts, examining the types of businesses involved, and studying patterns in commercial activity over time.",d54t-ywim.geojson
exclusive_pedestrian_signal_barnes_dance_locations.geojson,"This dataset provides geographic point locations across the five boroughs of New York City. Each entry includes detailed spatial information such as coordinates, borough, neighborhood name, main street, and cross street. The data is also organized by various administrative boundaries, including community districts, council districts, and congressional districts.

Furthermore, the dataset contains important environmental risk classifications, specifying the FEMA flood zone and hurricane evacuation zone for each location. It also includes a temporal element, with installation dates for the features at these points spanning from 1969 to 2022. This rich collection of urban data is valuable for applications in urban planning, infrastructure analysis, and disaster management.",8kuj-2n3u.geojson
archived_nypd_shooting_incident_data_historic.geojson,"This dataset contains detailed records of shooting incidents in New York City from 2006 to 2022. Each incident is documented with a unique key, the date and time of occurrence, and location information including the borough, police precinct, and geographic coordinates. The dataset provides demographic profiles for both victims and perpetrators, covering their age group, sex, and race. A statistical flag also identifies which incidents resulted in a murder. As a rich source of urban data, this dataset is valuable for analyzing crime patterns, studying demographic factors in incidents, and mapping crime hotspots across different neighborhoods.",833y-fsy8.geojson
nyc_community_boards.geojson,"This dataset provides a comprehensive directory of New York City's Community Boards. It contains contact information for each board, including office addresses, phone numbers, emails, and websites. The dataset also lists key personnel like the board chair and district manager, along with schedules for recurring board and cabinet meetings. Geographically, it includes information at the borough, neighborhood, and street address level, with precise latitude and longitude coordinates for each office location. As a resource for urban data, this dataset can be used to analyze local governance, map civic resources, or facilitate communication between residents and their community representatives.",ruf7-3wgc.geojson
tlc_driver_exam_testing_center_locations.geojson,"This dataset provides a list of PSI testing centers located throughout New York City. It includes detailed location information for each center, such as its full address, borough, postcode, and precise latitude and longitude coordinates. The dataset further enriches this spatial data with various administrative and geographic identifiers, including community board, council district, census tract, and property-specific Borough-Block-Lot (BBL) numbers. All information is current as of December 29, 2023. As a rich source of urban data, this dataset can be used for spatial analysis to understand the distribution of testing services, aid in urban planning, or study accessibility across different neighborhoods.",h922-d8e5.geojson
parking_meters_locations_and_status.geojson,"This dataset provides a comprehensive inventory of parking meters across New York City's boroughs. It contains precise geographic information for each meter, including latitude and longitude coordinates, as well as street-level address details. Key attributes include unique identifiers for each meter, its operational status, and the associated pay-by-cell number. The dataset also outlines the specific parking regulations for each location, such as hours of operation and time limits. This rich urban data is valuable for transportation analysis, city planning, and developing applications to help drivers find available parking.",693u-uax6.geojson
taxicab_partition_manufacturers_and_installers.geojson,"This dataset provides a list of businesses that manufacture and/or install taxi partitions. It includes contact and location information for each business, such as its name, address, and phone number. The data features detailed geographic information, including borough, latitude and longitude coordinates, and location points. It also contains several administrative and demographic identifiers like community board, council district, census tract, neighborhood tabulation area (NTA), and the borough-block-lot (BBL) number for the property parcel. Given its focus on urban data, this dataset is useful for analyzing the spatial distribution of transportation services across a city for urban planning or business analysis.",y9b6-624z.geojson
nyc_parks_drinking_fountains.geojson,"This dataset provides comprehensive information on public drinking fountains, likely located within New York City's five boroughs. Each entry contains the precise geographic coordinates of a fountain, its type, and its specific position, such as 'in a playground' or 'near a ballfield'. The dataset includes various identifiers, categorical attributes like fountain type, and spatial features detailing its location from the borough down to its exact point. As a valuable source of urban data, it can be used for city planning, analyzing the accessibility of public water sources, and managing park infrastructure and resources.",qnv7-p7a2.geojson
pharmaceutical_and_syringe_drop_off_locations_in_nyc.geojson,"This dataset contains a list of drop-off locations for pharmaceuticals and used syringes/sharps across New York City. Key details for each site include the name, address, contact number, and hours of operation. The data is geographically rich, with columns for borough, neighborhood, zip code, and precise latitude and longitude coordinates. It also provides extensive spatial information at various levels of detail, from specific land parcel identifiers to broader administrative divisions like community districts, council districts, and police precincts. This urban data can be used for public health analysis, mapping safe disposal sites, and improving city resource allocation.",edk2-vkjh.geojson
parks_closure_status_due_to_covid_19_comfort_stations.geojson,"This dataset provides information on the operational status of assets within New York City parks. It includes details such as the approximate dates of closure and reopening, the type of closure, and the current status, which can be 'Active', 'Reopened', or 'Under Construction'. The dataset contains rich temporal information, tracking event timestamps for business operations like closings. Spatially, it identifies the location of each asset through borough codes, park districts, and precise polygon boundaries. Various identifiers such as DOITT ID and GIS property numbers are included for unique referencing. As a source of urban data, this dataset is useful for analyzing operational changes in public spaces, aiding in urban planning, and managing park resources across different boroughs.",i5n2-q8ck.geojson
forestry_service_requests.geojson,"This dataset contains over 500,000 service requests related to trees in New York City. Each record details a specific request, such as pruning, planting, or removal, and its priority, source, and current status. The data includes temporal information, with requests initiated from 2015 to 2023, and rich spatial details like borough, community board, street name, and geographic coordinates. It also contains the original complaint details and the final resolution notes provided to the customer. This dataset is valuable for urban data analysis, enabling research on public service effectiveness, urban forestry management, and the geographic distribution of tree-related issues across neighborhoods.",mu46-p9is.geojson
parks_signs.geojson,"This dataset contains information about signs located within public parks and properties. It provides detailed geographic data for each sign, including its location by borough, community board, property name, and precise coordinates. The dataset contains rich semantic information, categorizing data by location at various resolutions, from the borough down to specific coordinates. It also includes descriptive attributes about the signs' physical characteristics, the type of amenity they represent, their hours of operation, and the languages displayed. This urban data is valuable for analyzing the distribution of public services, planning park infrastructure, and studying the linguistic landscape of city neighborhoods.",hv9n-xgy4.geojson
building_elevation_and_subgrade_bes.geojson,"This dataset provides comprehensive information on properties across New York City's five boroughs. It contains rich geospatial data, detailing property locations through coordinates, street addresses, and identifiers like Borough, Block, and Lot (BBL). The dataset links each property to various administrative and demographic boundaries, including council districts, community districts, and neighborhood tabulation areas. Key attributes include elevation measurements and notes on property accessibility and features, such as the presence of a subgrade level. As a valuable source of urban data, it is well-suited for urban planning, real estate analysis, flood risk assessment, and demographic research.",bsin-59hv.geojson
electronics_drop_off_locations_in_nyc.geojson,"This dataset contains information on various drop-off site locations across New York City's boroughs. It includes the name of the drop-off site, such as Best Buy or a DSNY Special Waste Drop-Off Site, as well as its full address and zip code. The data is rich in geographic identifiers, providing precise latitude and longitude coordinates for each location. It also maps each site to numerous administrative and political boundaries, including community districts, council districts, senate districts, and police precincts. This makes the dataset ideal for urban data analysis, such as studying the spatial distribution of services, optimizing logistics, or conducting demographic research on service accessibility.",wshr-5vic.geojson
capital_projects_database_cpdb_projects_polygons.geojson,"This dataset provides detailed information on capital projects managed by various city agencies. It includes unique project identifiers, descriptions, and the name of the managing agency. The data tracks key financial metrics, including planned costs, city payments, and total spending for each project. It also contains temporal information, with project timelines spanning from 2010 to 2033, and geospatial data defining the specific geographic area of each project as a multi-polygon. This rich urban data can be used to analyze public spending, monitor infrastructure development, and support urban planning initiatives across different locations.",9jkp-n57r.geojson
2010_yellow_taxi_trip_data.geojson,"This dataset contains records of taxi trips from 2010. Each entry details a single trip, including pickup and dropoff datetimes, passenger count, trip distance, and geospatial coordinates for pickup and dropoff locations. The dataset also provides a financial breakdown for each trip, with columns for the fare amount, MTA tax, tips, and the total amount paid. The temporal coverage of the trips spans from January to December 2010. As a rich source of urban data, this dataset is ideal for analyzing urban mobility, transportation patterns, and taxi fare structures within a major metropolitan area.",74wj-s5ij.geojson
parks_syringe_disposal_kiosks.geojson,"This dataset provides a detailed inventory of kiosks located within public parks. Each record represents a unique kiosk and includes information on its location, type, container size, and operational status, such as 'Active' or 'Removed'. The dataset offers rich spatial information, from the borough and park district down to the precise geographic coordinates of each unit. It also tracks the lifecycle of these assets with installation dates spanning from 2018 to 2021 and provides reasons for removal where applicable. This urban data is valuable for analyzing the distribution of public amenities, managing park infrastructure, and planning maintenance schedules.",r465-fr2q.geojson
2018_central_park_squirrel_census_squirrel_data.geojson,"This dataset provides detailed information from over 3,000 squirrel sightings in New York City's Central Park. Each record documents a unique sighting with attributes like the squirrel's age and primary fur color, observed during either morning or afternoon shifts. The data captures rich ecological and behavioral information, including geospatial coordinates for the location of each sighting. It also contains numerous categorical flags that describe the squirrel's activities, such as running, climbing, eating, and foraging, as well as interactions with observers. As a resource for urban data analysis, this dataset is ideal for studying urban wildlife behavior, mapping population distribution, and exploring how these animals interact with their city environment.",vfnx-vebw.geojson
housing_database_project_level_files.geojson,"This dataset contains detailed records of building construction jobs filed with the New York City Department of Buildings. It covers various job types, including new buildings, alterations, and demolitions, with data spanning from approximately 2002 to 2022. The data includes job status, permit dates, work descriptions, and property ownership information. Geographically, it provides extensive details such as street addresses, coordinates, boroughs, and building identification numbers (BINs). Semantically, the dataset captures property characteristics, administrative boundaries like community and council districts, and demographic information from the 2010 and 2020 census. This rich urban data can be used to analyze construction trends, map development patterns, and study changes in building stock across the city.",uxt4-ugwr.geojson
nypd_criminal_court_summons_historic.geojson,"This dataset contains records of legal summonses issued in New York City. It provides detailed information for each summons, including the date of the event, a description of the offense, and the specific law section violated. The dataset also includes demographic attributes of the individual receiving the summons, such as age group, sex, and race. Location information is provided through borough, precinct, and geographic coordinates, with temporal coverage from August 2011 to August 2021. As a rich source of urban data, this dataset can be used to analyze the spatial and temporal distribution of violations, study law enforcement patterns, and explore relationships between demographics and offenses across the city.",sv2w-rv3k.geojson
tlc_driver_education_24_hour_course_providers.geojson,"This dataset provides a comprehensive directory of driver education providers in New York City. For each school, the dataset includes its name, full address, contact person, phone number, email, website, course price, and the languages offered. The dataset features rich geographic data with location information at multiple levels of detail, from precise latitude and longitude coordinates to administrative boundaries like boroughs, council districts, and census tracts. The information is current as of late December 2023. As a source of urban data, this resource can be used to analyze the distribution of driver education services or to help residents find local schools that meet their language needs.",wzur-rhz9.geojson
parks_closure_status_due_to_covid_19_adult_exercise_equipment.geojson,"This dataset tracks the status of public exercise equipment located in New York City parks. It contains information about the closure and reopening of these facilities, with records providing the borough, park name, and specific site name, along with precise geographic coordinates. The dataset documents the method of closure, such as ""Completely Locked"" or ""Temporary Fencing,"" and the current operational status, including ""Reopened"" and ""Active."" It includes temporal data that captures when each site was closed and subsequently reopened, covering a period from April to June 2020. This urban dataset is valuable for analyzing public space management, tracking the phased reopening of city infrastructure, and mapping public fitness resources.",tkzt-zfpz.geojson
leaf_drop_off_locations_in_nyc.geojson,"This dataset provides detailed information on food scrap and leaf drop-off locations throughout New York City. Each record includes the site's name, address, zip code, and precise latitude and longitude coordinates. The data specifies operational details such as the managing organization, start and end dates, and daily hours, with temporal coverage from 2021 to 2024. For comprehensive analysis, each location is categorized by various administrative and political boundaries, including borough, neighborhood, community district, council district, and police precinct. This dataset is valuable for urban data analysis, enabling research on the distribution and accessibility of public composting services and informing waste management planning.",8i9k-4gi5.geojson
moving_violation_b_summons_year_to_date.geojson,"This dataset provides detailed records of traffic violations in New York City from January to September 2023. Each record represents a unique event, specifying the violation code, the category of vehicle involved, and the precise time the offense occurred. The dataset is rich in spatial information, containing the borough and precise geographic coordinates for each violation, including latitude, longitude, and a location point. With over 400 unique violation codes and eight vehicle categories, this dataset is ideal for urban analysis. It can be used to identify traffic violation hotspots, analyze patterns across different boroughs, and study offense trends by time and vehicle type to inform transportation planning and public safety initiatives.",57p3-pdcj.geojson
property_valuation_and_assessment_data.geojson,"This dataset contains property valuation and assessment data for New York City. It includes key details such as property identifiers, building classifications, number of stories, and financial metrics like full market value and assessed land value. The data is geographically rich, providing spatial information at various levels of detail, from specific street addresses and latitude/longitude coordinates to broader administrative areas like boroughs, community boards, and census tracts. This detailed urban dataset can be used for real estate market analysis, understanding property value trends over time, and supporting research in urban planning and tax policy.",yjxr-fw8i.geojson
dsny_garages.geojson,"This dataset provides a comprehensive list of garage locations throughout New York City. It contains geographic information such as street addresses, zip codes, and boroughs for each entry. The data also includes several unique identifiers like the Borough, Block, and Lot (BBL) number and a unique object ID. Semantically, these columns provide rich locational context, from the state and city level down to specific property parcels and precise geographic coordinates. As a resource for urban data analysis, this dataset is useful for studying infrastructure distribution, planning transportation routes, and analyzing service areas within New York City.",xw3j-2yxf.geojson
nyc_clean_soil_bank_generating_and_receiving_sites.geojson,"This dataset documents the transfer of materials between various sites across New York City. It provides detailed geographic information, including coordinates, street addresses, and borough details for both the material's source and destination. The data quantifies the amount moved by volume in cubic yards and weight in tons, while also including project identifiers and completion statuses. Semantically, the dataset is rich in geospatial data and includes unique identifiers for projects and locations, some of which indicate the project year. This information is valuable for urban planning, logistics optimization, and environmental analysis, enabling studies on material flows for construction or soil redistribution for land redevelopment programs.",b4dv-8mq4.geojson
outdoor_learning_streets_locations_historical.geojson,"This dataset provides geographic information on street segments designated as Open Streets for schools in New York City. It contains multi-line geometries that represent the specific street sections. Each record includes the name of the associated school, the borough, neighborhood, and the ""from"" and ""to"" streets that define the segment. An event timestamp indicates when the street was opened, with the data primarily covering a period in September 2020. This urban data is useful for transportation studies and policy analysis, enabling users to evaluate pedestrian safety initiatives or perform spatial analysis on street usage across different city neighborhoods.",vtjm-ngnu.geojson
scenic_landmarks.geojson,"This dataset provides detailed information on designated scenic landmarks across New York City boroughs. It contains geospatial data, including the specific multi-polygon boundaries, area, and length measurements for each landmark. Each location is identified by its name and a unique landmark preservation number. The dataset also includes important temporal information, such as the designation date and public hearing date, with records covering a period from 1974 to 2018. This urban data is valuable for geographic analysis, historical preservation research, and urban planning related to public spaces within the city.",qexa-qpj6.geojson
parks_closure_status_due_to_covid_19_skate_parks.geojson,"This dataset details the operational status of skateparks across New York City's boroughs. It includes location identifiers like park name and property name, as well as specific geographic polygon data for mapping. Key fields track the type of closure, the current status (such as reopened or under construction), and important event timestamps. The data provides temporal coverage from the approximate closure dates in April 2020 to the reopening dates in June 2020. As a resource for urban data analysis, this dataset can be used to study the impact of public policies on recreational facilities and visualize the city's reopening process.",pvvr-75zk.geojson
nypd_calls_for_service_historic.geojson,"This dataset contains records of computer-aided dispatch (CAD) events from the NYPD for June and July 2021. Each record includes a unique event ID, the incident's date, time, and a detailed description of the event type. It provides precise location information, including the borough, police precinct, latitude, and longitude. The dataset also tracks the lifecycle of each event with timestamps for when it was added to the system, when a unit was dispatched, the unit's arrival time, and when the case was closed. As a rich source of urban data, this dataset is ideal for analyzing police response times, mapping incident hotspots across boroughs, and studying patterns in public safety events.",d6zx-ckhd.geojson
2013_yellow_taxi_trip_data.geojson,"This dataset provides detailed records of individual taxi trips taken during 2013. Each record includes the pickup and drop-off date and time, passenger count, trip distance, and precise geospatial coordinates for the start and end locations. The dataset also contains a financial breakdown of each trip, capturing the fare amount, taxes, tips, and total cost. Additional details include the payment method used and an identifier for the taxi vendor. As a rich source of urban data, this dataset is useful for analyzing transportation trends, studying urban mobility, and understanding traffic patterns within a city.",t7ny-aygi.geojson
